Chapter,word order,abs word ord,English,Portuguese,ppd progress p34,Notes,abbreviations,,??
0,0,0,packages,pacotes,ppd 6,,,,p
3,6,306,parameter,parâmetro,pp2,,,,p
18,6,1806,parent class,classe base,"pp2, google devmedia",,,,c
0,0,0,parentheses,parenteses,ppd 83,,,,p
1,19,119,parse,analisar sintaticamente,wikipedia,,,,a
0,0,0,pass an argument,passar um argumento,ppd 309,,,,
14,7,1407,path,caminho,pp2,,,,c
14,1,1401,persistent,persistente,ppd sum,,,,p
14,14,1414,pipe object,objeto pipe,pp2,,,,o
17,8,1708,polymorphic,polimo'rfico,pp2,,,,p
1,4,104,portability,portabilidade,ppd 328,,,,p
17,5,1705,positional argument,argumento posicional,pp2,,,,a
4,11,411,postcondition,po's-condicao,pp2,,,,p
0,0,0,power,potência,ppd 33,,,,p
4,10,410,precondition,pre'-condicao,pp2,,,,p
1,8,108,print statement,instrucao print,pp2,,,,i
1,1,101,problem solving,solução de problemas,tpp 14,,,,s
1,7,107,program,programa,self,,,,p
1,6,106,prompt,"linha de comando, >>> sinal de espera",ppd 17,,,,l
16,1,1601,prototype and patch,prototipar e ajustar,pp2,,,,p
13,2,1302,pseudorandom,pseudo-aleato'rio,pp2,,,,p
16,3,1603,pure function,funcao pura,pp2,,,,f
21,9,2109,quadratic,quadra'tico,pp2,,,,q
0,0,0,quotation marks,aspas simples / duplas,google,,,,a
11,13,1113,raise statement,instrucao raise,pp2,,,,i
7,1,701,reassignment,reatribuicao,pp2,,,,r
5,13,513,recursion,recursao,pp2,,,,r
10,6,1006,reduce,"reduzir, redução",ppd sum,,,,r
9,2,902,reduction to a previously solved problem,reducao a um problema resolvido,pp2,,,,r
4,7,407,refactoring,refatoracao,pp2,,,,r
10,12,1012,reference,referência,ppd 31,,,,r
5,4,504,relational operator,operador relacional,pp2,,,,o
14,8,1408,relative path,caminho relativo,pp2,,,,c
0,0,0,remainder,resto da divisão,ppd 24,,,,r
5,12,512,return statement,instrucao return,pp2,,,,i
3,10,310,return value,"valor devolvido, valor de retorno","pp2, tpp 35",,,,v
0,0,0,returns (function),"retorna, devolve","ppd 29, pp2",,,,
11,12,1112,reverse lookup,busca invertida,pp2,,,,b
13,6,1306,rubber duck debugging,depuracao com patinho de borracha,pp2,,,,d
0,0,0,runtime,tempo de execução,linguee,,,,
6,4,604,scaffolding,codigo provisorio,pp2,,,,c
12,4,1204,scatter,explodir,pp2,,,,e
0,0,0,scientific notation,notação científica,ppd 33,,,,n
0,0,0,scope,escopo,ppd 66,,,,e
2,12,212,script,script,tpp 14,,,,s
2,11,211,script mode,modo de script,pp2,,,,m
8,9,809,search,busca,pp2,,,,b
21,10,2110,search,busca,pp2,,,,b
2,19,219,semantic error,erro semântico,pp2,,,,e
2,18,218,semantics,semântica,self,,,,s
8,2,802,sequence,seque^ncia,"self, pp2",,,,s
0,0,0,shadow (a variable),ofuscar,ppd 66,,,,o
15,7,1507,shallow copy,co'pia rasa,pp2,,,,c
12,8,1208,shape error,erro estrutural,pp2,,,,e
14,13,1413,shell,shell,"pp2, linguee",,,,s
11,14,1114,singleton,singleton,pp2,,,,s
8,5,805,slice,fatia,ppd 37,,,,f
0,0,0,source code file,código fonte,wikipedia,,,,c
9,3,903,special case,caso especial,pp2,,,,c
0,0,0,square brackets,colchetes,ppd 83,,,,c
3,20,320,stack diagram,diagrama de pilha,pp2,,,,d
0,0,0,standard library,biblioteca padrão,ppd 69,,,,b
2,3,203,state diagram,diagrama de estado,pp2,,,,d
2,8,208,statement,"instrução, comando","ppd 24, 26, 28",,,,i
1,14,114,string,(uma) string,ppd 34,,,,(
17,4,1704,subject,sujeito,pp2,,,,s
1,18,118,syntax,sintaxe,ppd 10,,,,s
2,16,216,syntax error,erro de sintaxe,self,,,,e
0,0,0,tab,tabulação,ppd 23,,,,t
0,0,0,take an argument,receber um argumento,ppd 302,,,,
6,1,601,temporary variable,varia'vel tempora'ria,pp2,,,,v
14,5,1405,text file,arquivo texto,ppd 338,,,,a
1,17,117,token,"token, símbolo, átomo","tpp 16, 17, wikipedia",,,,t
3,22,322,traceback,traceback,"pp2, tpp 26",,,,t
8,8,808,traverse,percorrer,pp2,,,,p
12,1,1201,tuple,tupla,ppd sumario,,,,t
12,2,1202,tuple assignment,desempacotamento de tupla,pp2,,,,d
1,11,111,type,tipo,ppd sumario,,,,t
17,7,1707,type-based dispatch,despacho por tipo,pp2,,,,d
0,3,3,typing (of a language),tipagem (dinâmica e forte),ppd 13,,,,t
7,2,702,update,atualizacao,pp2,,,,a
1,10,110,value,valor,self,,,,v
11,6,1106,value,valor,self,,,,v
2,1,201,variable,variável,ppd 27,,,,v
18,4,1804,veneer,fachada,pp2,,,,f
3,12,312,void function,procedimento,pp2,Returns None,,,p
0,0,0,while,executa atendendo a uma condição,ppd 29,,,,e
21,3,2103,worst case,pior caso,pp2,,,,p
12,5,1205,zip object,objeto zip,pp2,,,,o
